id,lambda,branch,alpha0,beta_plus0,beta_minus0,p_plus0,p_minus0,p_alpha0,momentum_rescale,tau_end,t_end,alpha_min,alpha_max,shear_max,shear_end,beta_max,wall_bounces,lyapunov_tau_bounded_only,recurrence,peaks_beta_plus,constraint_residual,steps,stop_reason,class
58,0.2,expanding,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,-124.931134,1.000000,0.003925610,2.271725654e+1,0.608779799,6.610663860,6.530760e-1,4.728117e-11,0.560525469,0,,1.000000000,0,2.630294e-13,1773,de Sitter escape,transient
59,0.2,expanding,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,-66.303169,1.000000,0.008400384,2.326691262e+1,0.388169699,6.389365213,9.236194e-1,4.807494e-11,0.325937986,2,,1.000000000,0,2.639069e-13,1615,de Sitter escape,transient
60,0.2,expanding,0.167559598,-0.242702720,0.242702720,-43.244040,-19.857495,-48.791063,1.000000,0.012118520,2.263272511e+1,0.167559598,6.169337469,9.511878e-1,2.301966e-10,0.385630899,5,,1.000000000,0,2.649914e-13,1755,de Sitter escape,transient
61,0.2,expanding,0.846949498,0.384121600,-0.384121600,24.694950,31.428131,-453.503479,1.000000,0.001278244,2.182287765e+1,0.846949498,6.848080552,6.568828e-1,1.721702e-10,0.543229977,2,,1.000000000,0,2.630848e-13,1585,de Sitter escape,transient
62,0.2,expanding,0.626339398,-0.089054079,0.089054079,2.633940,-7.286243,-14.561709,1.000000,0.009765460,2.528954083e+1,0.626339398,6.626469183,3.096932e-1,3.678744e-12,0.125941487,2,,1.000000000,0,2.615960e-13,1658,de Sitter escape,transient
63,0.2,expanding,0.405729297,0.537770241,-0.537770241,-19.427070,43.999383,-452.324343,1.000000,0.001831084,2.006844396e+1,0.405729297,6.408386338,9.100407e-1,2.013050e-10,0.760521968,2,,1.000000000,0,2.634338e-13,1519,de Sitter escape,transient
64,0.2,expanding,0.185119197,0.064594561,-0.064594561,-41.488080,5.285010,-36.817862,1.000000,0.017196019,2.375722167e+1,0.185119197,6.187525726,1.444292e+0,8.291599e-11,0.231648299,4,,1.000000000,0,2.644174e-13,1743,de Sitter escape,transient
65,0.2,expanding,0.864509097,-0.408581119,0.408581119,26.450910,-33.429364,-233.120662,1.000000,0.001954846,2.277592185e+1,0.864509097,6.868118425,5.103866e-1,1.496434e-11,0.577820960,0,,1.000000000,0,2.629063e-13,1728,de Sitter escape,transient
66,0.2,expanding,0.643898996,0.218243201,-0.218243201,4.389900,17.856262,-100.809262,1.000000,0.004339305,2.325886122e+1,0.643898996,6.644014920,5.420203e-1,2.135164e-11,0.308642495,2,,1.000000000,0,2.645433e-13,1630,de Sitter escape,transient
67,0.2,expanding,0.423288896,-0.254932479,0.254932479,-17.671110,-20.858112,-41.939130,1.000000,0.009732657,2.381207358e+1,0.423288896,6.425127164,6.678145e-1,1.471371e-11,0.360528969,0,,1.000000000,0,2.654020e-13,1734,de Sitter escape,transient
68,0.2,expanding,0.202678795,0.371891841,-0.371891841,-39.732120,30.427514,-122.840558,1.000000,0.006476826,2.153881757e+1,0.202678795,6.202914041,9.568981e-1,8.320823e-11,0.525934486,2,,1.000000000,0,2.647453e-13,1555,de Sitter escape,transient
69,0.2,expanding,0.882068695,-0.101283839,0.101283839,28.206870,-8.286860,-95.726327,1.000000,0.003008324,2.396550124e+1,0.882068695,6.882660237,9.531163e-2,9.186113e-13,0.143236978,0,,1.000000000,0,2.629816e-13,1588,de Sitter escape,transient
70,0.2,expanding,0.661458595,0.525540481,-0.525540481,6.145859,42.998767,-702.507380,1.000000,0.001075240,2.045299988e+1,0.661458595,6.665099750,8.522295e-1,5.869399e-10,0.743226476,2,,1.000000000,0,2.629987e-13,1539,de Sitter escape,transient
71,0.2,contracting,0.829389900,0.076824320,-0.076824320,22.938990,6.285626,75.800506,1.000000,0.099450305,3.827654902e+1,0.304445000,6.832327745,8.022519e+5,3.367571e-12,0.355483996,7,,1.000000000,0,5.707900e-13,3420,de Sitter escape,transient
72,0.2,contracting,0.608779799,-0.396351360,0.396351360,0.877980,-32.428748,124.931134,1.000000,0.323721105,7.931523534e-1,-8.422776129,0.608779799,1.009701e+0,9.989198e-1,5.645601240,3,,0.239617023,0,3.339944e-12,1352,collapse,singular
73,0.2,contracting,0.388169699,0.230472960,-0.230472960,-21.183030,18.856879,66.303169,1.000000,0.159618021,6.774612109e-1,-8.617245231,0.388169699,1.100529e+0,9.906605e-1,8.594904644,1,,1.000000000,0,6.573510e-13,702,collapse,singular
